id,Found?,old ID,pieces,name,series,artist,imageUrl,boxImageUrl,autoUrl,autoUrl1,autoUrl2
12000031,Yes,,1000,The Artist's Cabinet,Cabinet Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000031_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000031.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000031_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000031_2.webp
12000032,Yes,,1000,The Beach Hut,My Haven ,,https://ravensburger.cloud/images/produktseiten/820x600/12000032_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000032.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000032_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000032_2.webp
12000033,Yes,,1000,Abends in den Rocky Mountains,Power of Nature,,https://ravensburger.cloud/images/produktseiten/820x600/12000033_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000033.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000033_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000033_2.webp
12000034,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000034.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000034_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000034_2.webp
12000035,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000035.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000035_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000035_2.webp
12000036,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000036.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000036_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000036_2.webp
12000037,Yes,,1000,Maleficent,Disney Villainous,,https://ravensburger.cloud/images/produktseiten/820x600/12000037_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000037.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000037_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000037_2.webp
12000038,Yes,,1000,Queen of Hearts,Disney Villainous,,https://ravensburger.cloud/images/produktseiten/820x600/12000038_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000038.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000038_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000038_2.webp
12000039,Yes,,1000,Ursula,Disney Villainous,,https://ravensburger.cloud/images/produktseiten/820x600/12000039_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000039.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000039_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000039_2.webp
12000040,Yes,,2x500,The Christmas Market + Santa's Christmas Supper,Christmas Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000040_1.webp; https://ravensburger.cloud/images/produktseiten/820x600/12000040_2.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000040.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000040_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000040_2.webp
12000041,Yes,,1000,Tower Bridge at Sunset,,,https://ravensburger.cloud/images/produktseiten/820x600/12000041_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000041.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000041_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000041_2.webp
12000042,Yes,,1000,Sistine Chapel,Art Collection,,"https://m.media-amazon.com/images/I/81UJMNR6IlL._AC_UF894,1000_QL80_.jpg",,https://ravensburger.cloud/images/produktseiten/820x600/12000042.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000042_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000042_2.webp
12000043,Yes,,1000,Granada,Colección Ibérica,,https://ravensburger.cloud/images/produktseiten/820x600/12000043_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000043.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000043_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000043_2.webp
12000044,Yes,,500,Manatee Moments,,,https://ravensburger.cloud/images/produktseiten/650x445/12000044_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000044.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000044_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000044_2.webp
12000045,Yes,,1000,Yosemite Park,Power of Nature,,https://ravensburger.cloud/images/produktseiten/820x600/12000045_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000045.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000045_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000045_2.webp
12000046,Yes,,1000,Sonne über Island,Power of Nature,,https://ravensburger.cloud/images/produktseiten/820x600/12000046_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000046.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000046_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000046_2.webp
12000047,Yes,,631,Gold,Krypt,,https://ravensburger.cloud/images/produktseiten/820x600/12000047_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000047.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000047_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000047_2.webp
12000048,Yes,,1000,Ayers Rock in Australien,Beautiful Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000048_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000048.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000048_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000048_2.webp
12000049,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000049.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000049_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000049_2.webp
12000050,Yes,,1000,The Cosy Shed,My Haven,,https://ravensburger.cloud/images/produktseiten/820x600/12000050_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000050.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000050.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000050_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000050_2.webp
12000051,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000051.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000051_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000051_2.webp
12000052,Yes,,1000,Portrait of the Earth 2,Portrait of the Earth,,https://ravensburger.cloud/images/produktseiten/820x600/12000052.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000052.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000052_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000052_2.webp
12000053,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000053.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000053_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000053_2.webp
12000054,Yes,,736,Black,Krypt,,https://ravensburger.cloud/images/produktseiten/820x600/12000054_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000054.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000054_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000054_2.webp
12000055,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000055.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000055_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000055_2.webp
12000056,Yes,,1000,Venice Romance,,,https://ravensburger.cloud/images/produktseiten/820x600/12000056_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000056.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000056_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000056_2.webp
12000057,Yes,,1000,"Dinner in Positano, Italy",,,https://ravensburger.cloud/images/produktseiten/820x600/12000057_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000057.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000057_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000057_2.webp
12000058,Yes,,1000,The Mona Lisa,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000058.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000058.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000058_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000058_2.webp
12000059,Yes,,1000,The Greatest Bookshop,,,https://ravensburger.cloud/images/produktseiten/820x600/12000059_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000059.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000059_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000059_2.webp
12000060,Yes,,1000,Van Gogh: Night Café,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000060.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000060.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000060_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000060_2.webp
